Gen,C1_name,C1_unary1_key,C1_binary_key,C1_unary2_key,Loss,Accuracy
3,cosh(x) * sinc(x),cosh(x),x1 * x2,sinc(x),nan,0.10000000149011612
3,"tanh(x) * max(x, 0)",tanh(x),x1 * x2,"max(x, 0)",0.7860786318778992,0.7221999764442444
3,erf(x) + atanh(x),erf(x),x1 + x2,atanh(x),nan,0.10000000149011612
3,x - log(abs(x + err)),x,x1 - x2,log(abs(x + err)),nan,0.10000000149011612
3,"min(x, 0) * 0","min(x, 0)",x1 * x2,0,2.3025858402252197,0.10000000149011612
4,x**2 - cosh(x),x**2,x1 - x2,cosh(x),nan,0.10000000149011612
4,"log(abs(x + err)) + max(x, 0)",log(abs(x + err)),x1 + x2,"max(x, 0)",nan,0.10000000149011612
4,"max(sinc(x), log(1 + exp(x)))",sinc(x),"max(x1, x2)",log(1 + exp(x)),0.8623443245887756,0.6977999806404114
4,x**3 * (1/(1 + exp(-x))),x**3,x1 * x2,(1/(1 + exp(-x))),nan,0.10000000149011612
4,"max(cos(x), 0)",cos(x),"max(x1, x2)",0,1.7528445720672607,0.36800000071525574
4,(-x) / (x**3 + err),(-x),x1 / (x2 + err),x**3,nan,0.10000000149011612
4,"min(cos(x), max(x, 0))",cos(x),"min(x1, x2)","max(x, 0)",1.7715480327606201,0.36239999532699585
4,x + sqrt(x),x,x1 + x2,sqrt(x),nan,0.10000000149011612
4,"min(tanh(x), x)",tanh(x),"min(x1, x2)",x,0.9610210061073303,0.6678000092506409
4,"max(erf(x), sqrt(x))",erf(x),"max(x1, x2)",sqrt(x),1.129857063293457,0.6010000109672546
4,"max(cos(x), (1/(1 + exp(-x))))",cos(x),"max(x1, x2)",(1/(1 + exp(-x))),1.3732879161834717,0.5224000215530396
4,sinh(x) / (exp(x) + err),sinh(x),x1 / (x2 + err),exp(x),nan,0.10000000149011612
4,exp(x) * 0,exp(x),x1 * x2,0,2.302586317062378,0.10000000149011612
4,cos(x) * (-x),cos(x),x1 * x2,(-x),2.1822214126586914,0.2003999948501587
4,"max(x, 0) / (sinc(x) + err)","max(x, 0)",x1 / (x2 + err),sinc(x),nan,0.10000000149011612
4,log(abs(x + err)) * 1,log(abs(x + err)),x1 * x2,1,2.3142149448394775,0.10000000149011612
4,"max(x, 0) - sin(x)","max(x, 0)",x1 - x2,sin(x),0.9745705127716064,0.6538000106811523
4,"max(max(x, 0), 0)","max(x, 0)","max(x1, x2)",0,0.7921133637428284,0.7160000205039978
4,"max(asinh(x), atanh(x))",asinh(x),"max(x1, x2)",atanh(x),nan,0.10000000149011612
4,tanh(x) / (sin(x) + err),tanh(x),x1 / (x2 + err),sin(x),nan,0.10000000149011612
4,"min(log(abs(x + err)), x**2)",log(abs(x + err)),"min(x1, x2)",x**2,2.309046983718872,0.10000000149011612
4,"min(tanh(x), log(abs(x + err)))",tanh(x),"min(x1, x2)",log(abs(x + err)),nan,0.10000000149011612
4,tanh(x) + x,tanh(x),x1 + x2,x,0.9855583906173706,0.6520000100135803
4,sin(x) * x**3,sin(x),x1 * x2,x**3,nan,0.10000000149011612
4,"max(abs(x), sinh(x))",abs(x),"max(x1, x2)",sinh(x),nan,0.10000000149011612
4,"max(abs(x), exp(-x^2))",abs(x),"max(x1, x2)",exp(-x^2),1.0700867176055908,0.6194000244140625
4,"max(x, 0) + cos(x)","max(x, 0)",x1 + x2,cos(x),0.9309468865394592,0.6654000282287598
4,"max(x, atanh(x))",x,"max(x1, x2)",atanh(x),nan,0.10000000149011612
4,atanh(x) + 1,atanh(x),x1 + x2,1,nan,0.10000000149011612
4,"min(erf(x), exp(-x^2))",erf(x),"min(x1, x2)",exp(-x^2),1.6362496614456177,0.4487999975681305
4,0 * (-x),0,x1 * x2,(-x),2.3025877475738525,0.10000000149011612
4,"erf(x) / (max(x, 0) + err)",erf(x),x1 / (x2 + err),"max(x, 0)",nan,0.10000000149011612
4,"max(x, 0) - asinh(x)","max(x, 0)",x1 - x2,asinh(x),0.8232858180999756,0.7138000130653381
4,"max(max(x, 0), exp(-x^2))","max(x, 0)","max(x1, x2)",exp(-x^2),0.8408796787261963,0.7038000226020813
4,tanh(x) / (cos(x) + err),tanh(x),x1 / (x2 + err),cos(x),nan,0.10000000149011612
4,x**3 * abs(x),x**3,x1 * x2,abs(x),2.3026745319366455,0.10000000149011612
4,exp(-x^2) / (1 + err),exp(-x^2),x1 / (x2 + err),1,2.302569627761841,0.10019999742507935
