Gen,C1_name,C1_unary1_key,C1_binary_key,C1_unary2_key,Loss,Accuracy
3,"max(log(1 + exp(x)), sinh(x))",log(1 + exp(x)),"max(x1, x2)",sinh(x),nan,0.009999999776482582
3,"min(x, 0) + x**3","min(x, 0)",x1 + x2,x**3,168890096.0,0.00860000029206276
3,x - cos(x),x,x1 - x2,cos(x),2.688439130783081,0.3296000063419342
3,"min(log(1 + exp(x)), x)",log(1 + exp(x)),"min(x1, x2)",x,2.9630136489868164,0.28839999437332153
3,x * sin(x),x,x1 * x2,sin(x),4.421563625335693,0.03220000118017197
3,"log(abs(x + err)) - max(x, 0)",log(abs(x + err)),x1 - x2,"max(x, 0)",nan,0.009999999776482582
3,"max(1, sin(x))",1,"max(x1, x2)",sin(x),4.607010364532471,0.009999999776482582
3,"min(exp(x), abs(x))",exp(x),"min(x1, x2)",abs(x),2.6264331340789795,0.34599998593330383
3,"log(1 + exp(x)) - max(x, 0)",log(1 + exp(x)),x1 - x2,"max(x, 0)",4.60421895980835,0.012799999676644802
3,sinh(x) * (1/(1 + exp(-x))),sinh(x),x1 * x2,(1/(1 + exp(-x))),nan,0.009999999776482582
3,"min(0, (1/(1 + exp(-x))))",0,"min(x1, x2)",(1/(1 + exp(-x))),4.6051716804504395,0.009999999776482582
3,"min(x, 0) / (max(x, 0) + err)","min(x, 0)",x1 / (x2 + err),"max(x, 0)",nan,0.009999999776482582
3,x**2 + cosh(x),x**2,x1 + x2,cosh(x),nan,0.009999999776482582
3,"max(log(1 + exp(x)), cosh(x))",log(1 + exp(x)),"max(x1, x2)",cosh(x),nan,0.009999999776482582
3,"max(x, 0) + 0","max(x, 0)",x1 + x2,0,2.598252296447754,0.3555999994277954
3,"max(x, cos(x))",x,"max(x1, x2)",cos(x),2.8723676204681396,0.29739999771118164
3,"max((-x), sinc(x))",(-x),"max(x1, x2)",sinc(x),2.9227113723754883,0.2903999984264374
3,(-x) - cos(x),(-x),x1 - x2,cos(x),2.6975557804107666,0.3312000036239624
3,sin(x) - erf(x),sin(x),x1 - x2,erf(x),3.701021909713745,0.14980000257492065
3,"max(x, 0) * max(x, 0)","max(x, 0)",x1 * x2,"max(x, 0)",4.3364434242248535,0.06480000168085098
3,log(1 + exp(x)) * exp(-x^2),log(1 + exp(x)),x1 * x2,exp(-x^2),4.6053242683410645,0.010200000368058681
3,"log(abs(x + err)) + max(x, 0)",log(abs(x + err)),x1 + x2,"max(x, 0)",nan,0.009999999776482582
3,log(1 + exp(x)) + sin(x),log(1 + exp(x)),x1 + x2,sin(x),2.7390811443328857,0.313400000333786
3,sinc(x) / (x**2 + err),sinc(x),x1 / (x2 + err),x**2,nan,0.009999999776482582
3,"min(cosh(x), (1/(1 + exp(-x))))",cosh(x),"min(x1, x2)",(1/(1 + exp(-x))),2.700685501098633,0.33219999074935913
3,"max(min(x, 0), x**3)","min(x, 0)","max(x1, x2)",x**3,67917912.0,0.01080000028014183
3,atanh(x) * asinh(x),atanh(x),x1 * x2,asinh(x),nan,0.009999999776482582
3,abs(x) / (cosh(x) + err),abs(x),x1 / (x2 + err),cosh(x),4.605111598968506,0.008799999952316284
3,"max(x, 0) - 1","max(x, 0)",x1 - x2,1,2.6373679637908936,0.3384000062942505
3,"max(log(1 + exp(x)), sin(x))",log(1 + exp(x)),"max(x1, x2)",sin(x),2.6089823246002197,0.3513999879360199
3,"abs(x) - min(x, 0)",abs(x),x1 - x2,"min(x, 0)",2.6811511516571045,0.33160001039505005
3,x + sin(x),x,x1 + x2,sin(x),2.7592132091522217,0.3172000050544739
3,log(abs(x + err)) + sinc(x),log(abs(x + err)),x1 + x2,sinc(x),4.95158576965332,0.009999999776482582
4,"max(x, 0) - 1","max(x, 0)",x1 - x2,1,2.6373679637908936,0.3384000062942505
4,"(-x) + max(x, 0)",(-x),x1 + x2,"max(x, 0)",2.6344690322875977,0.34200000762939453
4,"max(log(1 + exp(x)), sin(x))",log(1 + exp(x)),"max(x1, x2)",sin(x),2.6089823246002197,0.3513999879360199
4,"max(log(1 + exp(x)), sin(x))",log(1 + exp(x)),"max(x1, x2)",sin(x),2.596518039703369,0.3562000095844269
4,"max(x, 0) + 0","max(x, 0)",x1 + x2,0,2.598252296447754,0.3555999994277954
4,(-x) + sin(x),(-x),x1 + x2,sin(x),3.3537163734436035,0.21439999341964722
4,"min(cosh(x), exp(-x^2))",cosh(x),"min(x1, x2)",exp(-x^2),4.608206272125244,0.009600000455975533
4,"max(log(abs(x + err)), abs(x))",log(abs(x + err)),"max(x1, x2)",abs(x),3.1732420921325684,0.2513999938964844
4,x - (1/(1 + exp(-x))),x,x1 - x2,(1/(1 + exp(-x))),3.0344362258911133,0.27799999713897705
4,cosh(x) + sin(x),cosh(x),x1 + x2,sin(x),nan,0.009999999776482582
4,x**2 - sin(x),x**2,x1 - x2,sin(x),4.7031450271606445,0.012600000016391277
4,"max(sin(x), 1)",sin(x),"max(x1, x2)",1,4.606593608856201,0.009999999776482582
4,sin(x) + x,sin(x),x1 + x2,x,2.7915656566619873,0.30480000376701355
4,"min(log(1 + exp(x)), max(x, 0))",log(1 + exp(x)),"min(x1, x2)","max(x, 0)",2.59779691696167,0.35280001163482666
4,"max(sinc(x), tanh(x))",sinc(x),"max(x1, x2)",tanh(x),nan,0.009999999776482582
4,"min(x, (1/(1 + exp(-x))))",x,"min(x1, x2)",(1/(1 + exp(-x))),2.891505241394043,0.28859999775886536
4,"min(x, cos(x))",x,"min(x1, x2)",cos(x),3.070671796798706,0.2565999925136566
4,erf(x) + (1/(1 + exp(-x))),erf(x),x1 + x2,(1/(1 + exp(-x))),2.8720145225524902,0.29260000586509705
4,x + 0,x,x1 + x2,0,2.9198155403137207,0.30640000104904175
4,"max(cosh(x), (1/(1 + exp(-x))))",cosh(x),"max(x1, x2)",(1/(1 + exp(-x))),nan,0.009999999776482582
4,"max(x, min(x, 0))",x,"max(x1, x2)","min(x, 0)",2.9386239051818848,0.29760000109672546
4,log(1 + exp(x)) - cosh(x),log(1 + exp(x)),x1 - x2,cosh(x),nan,0.009999999776482582
4,"max(x, 0) + sin(x)","max(x, 0)",x1 + x2,sin(x),2.7235307693481445,0.31779998540878296
4,"min(sin(x), x)",sin(x),"min(x1, x2)",x,2.9036831855773926,0.2906000018119812
4,(-x) / (log(1 + exp(x)) + err),(-x),x1 / (x2 + err),log(1 + exp(x)),nan,0.009999999776482582
4,"min(log(1 + exp(x)), max(x, 0))",log(1 + exp(x)),"min(x1, x2)","max(x, 0)",2.607292652130127,0.3562000095844269
4,"max(log(1 + exp(x)), tanh(x))",log(1 + exp(x)),"max(x1, x2)",tanh(x),2.601875066757202,0.3562000095844269
4,"max(sin(x), sin(x))",sin(x),"max(x1, x2)",sin(x),3.5576469898223877,0.17440000176429749
4,abs(x) + cosh(x),abs(x),x1 + x2,cosh(x),nan,0.009999999776482582
4,"min(sin(x), x)",sin(x),"min(x1, x2)",x,2.756164789199829,0.31380000710487366
4,(-x) - 0,(-x),x1 - x2,0,2.92230224609375,0.2985999882221222
4,(1/(1 + exp(-x))) - log(1 + exp(x)),(1/(1 + exp(-x))),x1 - x2,log(1 + exp(x)),3.026632785797119,0.26100000739097595
4,"min(asinh(x), (-x))",asinh(x),"min(x1, x2)",(-x),3.294632911682129,0.22139999270439148
4,(1/(1 + exp(-x))) / (x + err),(1/(1 + exp(-x))),x1 / (x2 + err),x,nan,0.009999999776482582
4,x - (-x),x,x1 - x2,(-x),2.924542188644409,0.3009999990463257
4,(-x) + abs(x),(-x),x1 + x2,abs(x),2.6063828468322754,0.35499998927116394
4,"max(log(1 + exp(x)), sinc(x))",log(1 + exp(x)),"max(x1, x2)",sinc(x),2.7898383140563965,0.32739999890327454
4,"(1/(1 + exp(-x))) * max(x, 0)",(1/(1 + exp(-x))),x1 * x2,"max(x, 0)",2.6175363063812256,0.34220001101493835
4,1 + sin(x),1,x1 + x2,sin(x),3.262805938720703,0.21480000019073486
4,"max((-x), (-x))",(-x),"max(x1, x2)",(-x),2.907331943511963,0.3073999881744385
4,"min(asinh(x), (-x))",asinh(x),"min(x1, x2)",(-x),3.320701837539673,0.22360000014305115
4,(-x) + x**2,(-x),x1 + x2,x**2,4.474461078643799,0.047600001096725464
4,"max(max(x, 0), exp(x))","max(x, 0)","max(x1, x2)",exp(x),nan,0.009999999776482582
4,"max(log(abs(x + err)), exp(x))",log(abs(x + err)),"max(x1, x2)",exp(x),nan,0.009999999776482582
4,(-x) * erf(x),(-x),x1 * x2,erf(x),3.285184860229492,0.22200000286102295
4,cos(x) - asinh(x),cos(x),x1 - x2,asinh(x),2.9354610443115234,0.2791999876499176
4,"min(x, 0) * max(x, 0)","min(x, 0)",x1 * x2,"max(x, 0)",4.605171203613281,0.009999999776482582
4,"max(erf(x), x**2)",erf(x),"max(x1, x2)",x**2,4.401320934295654,0.0575999990105629
4,0 / (asinh(x) + err),0,x1 / (x2 + err),asinh(x),4.605171203613281,0.009999999776482582
4,log(1 + exp(x)) / ((1/(1 + exp(-x))) + err),log(1 + exp(x)),x1 / (x2 + err),(1/(1 + exp(-x))),2.608243942260742,0.3529999852180481
5,"min(log(1 + exp(x)), max(x, 0))",log(1 + exp(x)),"min(x1, x2)","max(x, 0)",2.59779691696167,0.35280001163482666
5,(-x) + abs(x),(-x),x1 + x2,abs(x),2.6063828468322754,0.35499998927116394
5,"(-x) + max(x, 0)",(-x),x1 + x2,"max(x, 0)",2.6344690322875977,0.34200000762939453
5,"min(log(1 + exp(x)), max(x, 0))",log(1 + exp(x)),"min(x1, x2)","max(x, 0)",2.607292652130127,0.3562000095844269
5,"max(log(1 + exp(x)), sin(x))",log(1 + exp(x)),"max(x1, x2)",sin(x),2.6089823246002197,0.3513999879360199
5,log(abs(x + err)) / (0 + err),log(abs(x + err)),x1 / (x2 + err),0,nan,0.009999999776482582
5,"min(log(1 + exp(x)), sinc(x))",log(1 + exp(x)),"min(x1, x2)",sinc(x),nan,0.009999999776482582
5,(-x) - (-x),(-x),x1 - x2,(-x),4.605171203613281,0.009999999776482582
5,(-x) * (-x),(-x),x1 * x2,(-x),4.539336681365967,0.031199999153614044
