Gen,C1_name,C1_unary1_key,C1_binary_key,C1_unary2_key,C2_name,C2_unary1_key,C2_binary_key,C2_unary2_key,C3_name,C3_unary1_key,C3_binary_key,C3_unary2_key,Loss,Accuracy
9,sinh(x) + atanh(x),sinh(x),x1 + x2,atanh(x),0 * exp(x),0,x1 * x2,exp(x),atanh(x) / ((-x) + err),atanh(x),x1 / (x2 + err),(-x),nan,0.10000000149011612
9,"max(0, x**3)",0,"max(x1, x2)",x**3,"min(x**3, x**3)",x**3,"min(x1, x2)",x**3,exp(x) * exp(x),exp(x),x1 * x2,exp(x),nan,0.10000000149011612
9,"min(1, exp(-x^2))",1,"min(x1, x2)",exp(-x^2),asinh(x) - asinh(x),asinh(x),x1 - x2,asinh(x),"min(cos(x), 1)",cos(x),"min(x1, x2)",1,2.3069121837615967,0.10000000149011612
9,"max(x, 0) + asinh(x)","max(x, 0)",x1 + x2,asinh(x),"max(sinc(x), erf(x))",sinc(x),"max(x1, x2)",erf(x),tanh(x) * (-x),tanh(x),x1 * x2,(-x),nan,0.10000000149011612
9,atanh(x) * log(1 + exp(x)),atanh(x),x1 * x2,log(1 + exp(x)),"min(cos(x), atanh(x))",cos(x),"min(x1, x2)",atanh(x),asinh(x) + exp(-x^2),asinh(x),x1 + x2,exp(-x^2),nan,0.10000000149011612
9,sinc(x) / (tanh(x) + err),sinc(x),x1 / (x2 + err),tanh(x),atanh(x) - cosh(x),atanh(x),x1 - x2,cosh(x),x**3 + sinh(x),x**3,x1 + x2,sinh(x),nan,0.10000000149011612
9,asinh(x) - log(1 + exp(x)),asinh(x),x1 - x2,log(1 + exp(x)),"max(x, 0) - sinc(x)","max(x, 0)",x1 - x2,sinc(x),"erf(x) * min(x, 0)",erf(x),x1 * x2,"min(x, 0)",nan,0.10000000149011612
9,exp(-x^2) + (1/(1 + exp(-x))),exp(-x^2),x1 + x2,(1/(1 + exp(-x))),"min(abs(x), cosh(x))",abs(x),"min(x1, x2)",cosh(x),log(abs(x + err)) + sqrt(x),log(abs(x + err)),x1 + x2,sqrt(x),nan,0.10000000149011612
9,log(1 + exp(x)) / (tanh(x) + err),log(1 + exp(x)),x1 / (x2 + err),tanh(x),x**3 * cosh(x),x**3,x1 * x2,cosh(x),x**3 * cosh(x),x**3,x1 * x2,cosh(x),nan,0.10000000149011612
9,sinc(x) * sinh(x),sinc(x),x1 * x2,sinh(x),"asinh(x) / (max(x, 0) + err)",asinh(x),x1 / (x2 + err),"max(x, 0)","sinh(x) * max(x, 0)",sinh(x),x1 * x2,"max(x, 0)",2.3025858402252197,0.10000000149011612
